,WHR-C,MHK,PAG,HD,JBHT,LOW,FOE,WOR,XOM,BASFY,WHR-F
2010-01-08,0,0,0,1,0,1,0,0,0,1,2
2010-01-15,2,2,2,2,1,2,2,2,2,2,2
2010-01-22,2,2,2,2,2,2,2,2,2,2,2
2010-01-29,2,2,2,1,2,2,2,2,2,1,1
2010-02-05,1,0,0,1,2,1,2,1,2,2,0
2010-02-12,0,1,0,0,0,0,0,0,1,1,0
2010-02-19,0,0,1,0,0,0,0,0,1,0,1
2010-02-26,1,0,2,0,0,0,2,2,2,2,0
2010-03-05,0,0,0,0,2,0,0,0,0,0,1
2010-03-12,1,1,2,0,0,0,2,1,1,0,1
2010-03-19,1,2,0,1,0,1,1,2,1,1,0
2010-03-26,0,0,2,0,1,1,0,0,1,0,2
2010-04-01,2,0,1,2,1,1,0,2,0,0,0
2010-04-09,0,1,2,0,1,0,0,2,0,1,1
2010-04-16,1,0,0,0,0,0,0,1,2,2,0
2010-04-23,0,0,0,0,0,0,0,0,0,0,2
2010-04-30,2,1,2,2,2,2,0,2,2,2,2
2010-05-07,2,2,2,2,2,2,2,2,2,2,0
2010-05-14,0,0,2,0,1,2,2,2,2,2,2
2010-05-21,2,2,2,2,2,2,2,2,2,2,0
2010-05-28,0,0,0,0,0,0,1,0,1,1,2
2010-06-04,2,2,2,2,2,2,2,2,2,2,0
2010-06-11,0,2,1,1,0,1,2,0,0,0,0
2010-06-18,0,1,2,2,1,2,0,2,0,0,2
2010-06-25,2,2,2,2,2,2,2,2,2,2,2
2010-07-02,2,2,2,2,2,2,2,2,2,2,0
2010-07-09,0,0,0,1,0,1,0,0,0,0,2
2010-07-16,2,2,0,2,0,2,2,2,1,1,2
2010-07-23,2,0,0,0,1,0,0,0,0,0,2
2010-07-30,2,2,0,1,1,2,0,1,1,2,1
2010-08-06,1,0,2,1,2,2,1,0,0,1,2
2010-08-13,2,2,2,2,2,2,2,2,2,2,0
2010-08-20,0,1,2,0,0,0,0,0,2,2,2
2010-08-27,2,0,1,1,2,1,1,2,0,2,0
2010-09-03,0,0,0,0,0,0,0,0,0,0,2
2010-09-10,2,1,2,1,2,2,1,2,1,0,1
2010-09-17,1,1,2,1,0,2,0,2,1,0,0
2010-09-24,0,0,0,0,0,0,1,1,0,0,1
2010-10-01,1,0,0,1,2,1,0,1,1,0,0
2010-10-08,0,1,1,1,0,0,0,1,0,0,0
2010-10-15,0,0,0,2,0,2,2,1,0,0,0
2010-10-22,0,0,2,0,1,0,2,1,0,0,2
2010-10-29,2,2,1,2,2,2,0,1,1,2,0
2010-11-05,0,2,0,0,0,0,0,0,0,0,2
2010-11-12,2,2,2,1,1,2,2,2,0,2,0
2010-11-19,0,1,1,1,0,0,2,2,1,1,1
2010-11-24,1,1,0,1,1,0,0,1,1,1,1
2010-11-26,1,1,1,1,1,2,1,1,1,1,0
2010-12-03,0,0,0,0,0,0,0,0,0,0,0
2010-12-10,0,0,0,0,0,0,0,0,0,1,0
